Age,MaleMortality_qx,FemaleMortality_qx
15,0.00089,0.00089
16,0.00113,0.00113
17,0.00137,0.00137
18,0.00162,0.00162
19,0.00188,0.00188
20,0.00215,0.00215
21,0.00235,0.00235
22,0.0024,0.0024
23,0.00232,0.00232
24,0.00218,0.00218
25,0.00201,0.00201
26,0.00186,0.00186
27,0.00177,0.00177
28,0.0017,0.0017
29,0.00167,0.00167
30,0.00165,0.00165
31,0.00165,0.00165
32,0.00168,0.00168
33,0.00173,0.00173
34,0.00179,0.00179
35,0.00187,0.00187
36,0.00197,0.00197
37,0.00208,0.00208
38,0.0022,0.0022
39,0.00235,0.00235
40,0.00252,0.00252
41,0.00271,0.00271
42,0.00292,0.00292
43,0.00317,0.00317
44,0.00345,0.00345
45,0.00376,0.00376
46,0.00411,0.00411
47,0.00451,0.00451
48,0.00494,0.00494
49,0.00542,0.00542
50,0.00595,0.00595
51,0.00653,0.00653
52,0.00716,0.00716
53,0.00785,0.00785
54,0.00861,0.00861
55,0.00943,0.00943
56,0.01034,0.01034
57,0.01135,0.01135
58,0.01246,0.01246
59,0.01369,0.01369
60,0.01505,0.01505
61,0.01655,0.01655
62,0.01821,0.01821
63,0.02003,0.02003
64,0.02203,0.02203
65,0.02421,0.02421
66,0.0266,0.0266
67,0.02919,0.02919
68,0.03201,0.03201
69,0.03506,0.03506
70,0.03836,0.03836
71,0.04191,0.04191
72,0.04574,0.04574
73,0.04984,0.04984
74,0.05425,0.05425
75,0.05901,0.05901
76,0.06418,0.06418
77,0.06981,0.06981
78,0.07595,0.07595
79,0.08266,0.08266
80,0.09,0.09
81,0.09802,0.09802
82,0.10677,0.10677
83,0.11632,0.11632
84,0.1267,0.1267
85,0.13799,0.13799
86,0.15023,0.15023
87,0.16348,0.16348
88,0.17779,0.17779
89,0.19321,0.19321
90,0.20959,0.20959
91,0.22714,0.22714
92,0.24593,0.24593
93,0.26598,0.26598
94,0.28734,0.28734
95,0.31003,0.31003
96,0.33405,0.33405
97,0.35941,0.35941
98,0.38609,0.38609
99,0.41404,0.41404
100,0.4432,0.4432
101,0.47348,0.47348
102,0.50476,0.50476
103,0.53691,0.53691
104,0.56973,0.56973
